image,prediction,confidence
Chó Shiba.png,dingo,0.9203872084617615
Chó Airedale Terrier.png,airedale,0.8383962512016296
Chó Affenpinscher.png,affenpinscher,0.7319732904434204
Chó ta Việt Nam.jpg,dingo,0.9315629601478577
Springer xứ Wales.png,welsh_springer_spaniel,0.9845824241638184
Chó Alaska Malamute.png,malamute,0.7568661570549011
Chó Samoyed.png,samoyed,0.9772744178771973
Chó Curly-coated Retriever.png,curly,0.9751509428024292
Chó Norwich Terrier.png,norwich_terrier,0.9258331060409546
Chó Setter Anh.png,english_setter,0.9892153143882751
Terrier Tây Tạng.png,tibetan_terrier,0.9575762152671814
Chó Papillon.jpg,papillon,0.9924941062927246
Ngao Tây Tạng.png,tibetan_mastiff,0.9960795044898987
Ngao Đức.png,great_dane,0.9962892532348633
Chó Border Terrier.png,border_terrier,0.9817979335784912
Chó Flat-coated Retriever.png,flat,0.9953989386558533
Chó Scottie.png,scotch_terrier,0.9908517003059387
Chó Saluki.png,saluki,0.991635799407959
Chó Irish Setter.png,irish_setter,0.9746490120887756
Chó Cavalier King Charles (Blenheim).png,blenheim_spaniel,0.972339391708374
Chó Irish Terrier.png,irish_terrier,0.9835597276687622
Chó Bloodhound.png,bloodhound,0.9951836466789246
Chó Westie.png,west_highland_white_terrier,0.9093418717384338
Chó Brussels Griffon.png,brabancon_griffon,0.7307047843933105
Chó Doberman (2).png,doberman,0.9971760511398315
Chó Ibizan Hound.png,ibizan_hound,0.994356095790863
Chó Dhole.png,dhole,0.9939593076705933
Chó Cairn Terrier.png,cairn,0.988899827003479
Béc-giê Đức.png,german_shepherd,0.9930117726325989
Chó Kelpie.png,kelpie,0.9931918978691101
Chó Dandie Dinmont Terrier.png,dandie_dinmont,0.9910927414894104
Chó hoang châu Phi.png,african_hunting_dog,0.9899516701698303
Pointer Đức.png,german_short,0.9913801550865173
Chó Saint Bernard.png,saint_bernard,0.9792182445526123
Chó Bedlington Terrier.png,bedlington_terrier,0.9924219250679016
Chó Leonberger.png,leonberg,0.9932873845100403
Chó Poodle Mini.png,standard_poodle,0.7876326441764832
Chó Bernese Mountain Dog.png,appenzeller,0.6969724297523499
Chó Newfoundland.png,newfoundland,0.9973078966140747
Chó Chesapeake Retriever.png,chesapeake_bay_retriever,0.9895734190940857
Chó Amstaff.png,american_staffordshire_terrier,0.8931883573532104
Chó Otterhound.png,otterhound,0.9916327595710754
Chó Sussex Spaniel.png,sussex_spaniel,0.9921452403068542
Chó Bluetick Coonhound.png,bluetick,0.9960117340087891
Chó Dingo.png,dingo,0.9916031956672668
Chó Irish Water Spaniel.png,irish_water_spaniel,0.9905875325202942
Chó Fila Brasileiro.png,bloodhound,0.5847458839416504
Chó Entlebucher.png,entlebucher,0.9697924852371216
Chó Mexican Hairless.png,mexican_hairless,0.994877278804779
Chó Afghan Hound.png,afghan_hound,0.9893028140068054
Chó Kuvasz.png,kuvasz,0.989739716053009
Chó Keeshond.png,keeshond,0.9875956773757935
Chó Deerhound Scotland.png,scottish_deerhound,0.9618099331855774
Chó Rottweiler.png,rottweiler,0.4666009545326233
Chó Black and Tan Coonhound.png,black,0.988074004650116
Chó Boxer.png,boxer,0.9955822825431824
Chó Wire Fox Terrier.png,wire,0.968639612197876
Chó Borzoi.png,borzoi,0.9949135780334473
Chó Great Pyrenees.png,great_pyrenees,0.948660671710968
Béc-giê Bỉ Groenendael (2).png,groenendael,0.9927138686180115
Chó Gordon Setter.png,gordon_setter,0.9883628487586975
Chó Kerry Blue Terrier.png,kerry_blue_terrier,0.9915728569030762
Chó Border Collie.png,collie,0.5002243518829346
Chó Briard.png,briard,0.9892833232879639
Chó Ridgeback Rhodesia.png,rhodesian_ridgeback,0.9709789752960205
Chó Boston Terrier.png,boston_bull,0.9659119248390198
Chó Bullmastiff.png,bull_mastiff,0.9935625791549683
Chó Collie.png,collie,0.9625354409217834
Chó Brittany Spaniel.png,brittany_spaniel,0.9934906959533691
Chó Schnauzer Giant.png,giant_schnauzer,0.9898681640625
Béc-giê Bỉ Malinois.png,malinois,0.9970364570617676
Chó Bouvier des Flandres.png,bouvier_des_flandres,0.9793577790260315
Chó Whippet.png,whippet,0.9846513271331787
Chó Appenzeller.png,appenzeller,0.9328386187553406
Chó mào Trung Quốc.png,mexican_hairless,0.9792085289955139
Chó Wheaten Terrier.png,soft,0.8891791105270386
Chó Weimaraner.png,weimaraner,0.9921211004257202
Chó Clumber Spaniel.png,clumber,0.9902229309082031
Chó Greater Swiss Mountain Dog.png,greater_swiss_mountain_dog,0.642846405506134
Chó Doberman.png,doberman,0.7036014795303345
Chó Basset Hound.png,basset,0.9460512399673462
Chó Basenji.png,basenji,0.9926315546035767
Shepherd Úc.png,collie,0.6020928621292114
Chin Nhật.png,japanese_spaniel,0.9944471120834351
Chó Maltese.png,maltese_dog,0.9140561819076538
Chó Cane Corso.png,staffordshire_bullterrier,0.30467239022254944
Chó Bobtail.png,old_english_sheepdog,0.9918705224990845
