image,prediction,confidence
Béc-giê Bỉ Groenendael.png,groenendael,0.9918529391288757
Béc-giê Bỉ Malinois.png,malinois,0.9970364570617676
Béc-giê Bỉ Groenendael (2).png,groenendael,0.9927138686180115
Chó Papillon.jpg,papillon,0.9924941062927246
Chó Toy Terrier.jpg,toy_terrier,0.7026857733726501
Bulldog Pháp.png,french_bulldog,0.9818259477615356
Foxhound Anh.jpg,english_foxhound,0.9744622707366943
Chó ta Việt Nam.jpg,dingo,0.9315629601478577
Chó Bắc Hà.jpg,tibetan_mastiff,0.8449146747589111
Treeing Walker Coonhound.jpg,english_foxhound,0.7227292656898499
Cho Phu Quoc (1).png,basenji,0.9535354375839233
Chin Nhật.png,japanese_spaniel,0.9944471120834351
Chihuahua.png,chihuahua,0.9968054294586182
Bắc Kinh.png,pekinese,0.9966666102409363
Béc-giê Đức.png,german_shepherd,0.9930117726325989
Chó Airedale Terrier.png,airedale,0.8383962512016296
Chó Afghan Hound.png,afghan_hound,0.9893028140068054
Chow Chow.png,chow,0.9916548728942871
Chó Affenpinscher.png,affenpinscher,0.7319732904434204
Cho Phu Quoc (2).png,basenji,0.8291943669319153
Chó Basset Hound.png,basset,0.9460512399673462
Chó Basenji.png,basenji,0.9926315546035767
Chó Appenzeller.png,appenzeller,0.9328386187553406
Chó Amstaff.png,american_staffordshire_terrier,0.8931883573532104
Chó Alaska Malamute.png,malamute,0.7568661570549011
Chó Black and Tan Coonhound.png,black,0.988074004650116
Chó Bloodhound.png,bloodhound,0.9951836466789246
Chó Bernese Mountain Dog.png,appenzeller,0.6969724297523499
Chó Bichon Frise.png,toy_poodle,0.46323367953300476
Chó Bedlington Terrier.png,bedlington_terrier,0.9924219250679016
Chó Beagle.png,english_foxhound,0.47254955768585205
Chó Borzoi.png,borzoi,0.9949135780334473
Chó Border Terrier.png,border_terrier,0.9817979335784912
Chó Border Collie.png,collie,0.5002243518829346
Chó Bobtail.png,old_english_sheepdog,0.9918705224990845
Chó Bluetick Coonhound.png,bluetick,0.9960117340087891
Chó Brussels Griffon.png,brabancon_griffon,0.7307047843933105
Chó Brittany Spaniel.png,brittany_spaniel,0.9934906959533691
Chó Briard.png,briard,0.9892833232879639
Chó Boxer.png,boxer,0.9955822825431824
Chó Bouvier des Flandres.png,bouvier_des_flandres,0.9793577790260315
Chó Boston Terrier.png,boston_bull,0.9659119248390198
Chó Chesapeake Retriever.png,chesapeake_bay_retriever,0.9895734190940857
Chó Cavalier King Charles (Blenheim).png,blenheim_spaniel,0.972339391708374
Chó Cane Corso.png,staffordshire_bullterrier,0.30467239022254944
Chó Cairn Terrier.png,cairn,0.988899827003479
Chó Bullmastiff.png,bull_mastiff,0.9935625791549683
Chó Corgi Pembroke.png,pembroke,0.6833646297454834
Chó Corgi Cardigan.png,cardigan,0.9862682819366455
Chó Collie.png,collie,0.9625354409217834
Chó Cocker.png,cocker_spaniel,0.9499415755271912
Chó Clumber Spaniel.png,clumber,0.9902229309082031
Chó Doberman (2).png,doberman,0.9971760511398315
Chó Dingo.png,dingo,0.9916031956672668
Chó Dhole.png,dhole,0.9939593076705933
Chó Deerhound Scotland.png,scottish_deerhound,0.9618099331855774
Chó Dandie Dinmont Terrier.png,dandie_dinmont,0.9910927414894104
Chó Curly-coated Retriever.png,curly,0.9751509428024292
Chó Flat-coated Retriever.png,flat,0.9953989386558533
Chó Fila Brasileiro.png,bloodhound,0.5847458839416504
Chó Entlebucher.png,entlebucher,0.9697924852371216
Chó Elkhound Na Uy.png,norwegian_elkhound,0.9826601147651672
Chó Doberman.png,doberman,0.7036014795303345
Chó hoang châu Phi.png,african_hunting_dog,0.9899516701698303
Chó H'Mông cộc đuôi.png,kelpie,0.9753487706184387
Chó Greater Swiss Mountain Dog.png,greater_swiss_mountain_dog,0.642846405506134
Chó Great Pyrenees.png,great_pyrenees,0.948660671710968
Chó Gordon Setter.png,gordon_setter,0.9883628487586975
Chó Golden.png,golden_retriever,0.9962771534919739
Chó Irish Water Spaniel.png,irish_water_spaniel,0.9905875325202942
Chó Irish Terrier.png,irish_terrier,0.9835597276687622
Chó Irish Setter.png,irish_setter,0.9746490120887756
Chó Ibizan Hound.png,ibizan_hound,0.994356095790863
Chó Husky Siberia.png,eskimo_dog,0.6908493041992188
Chó Kerry Blue Terrier.png,kerry_blue_terrier,0.9915728569030762
Chó Komondor.png,komondor,0.9923141598701477
Chó Kelpie.png,kelpie,0.9931918978691101
Chó Keeshond.png,keeshond,0.9875956773757935
Chó Irish Wolfhound.png,irish_wolfhound,0.8650057911872864
Chó Lhasa.png,lhasa,0.7221114039421082
Chó Leonberger.png,leonberg,0.9932873845100403
Chó Lakeland Terrier.png,airedale,0.5601688623428345
Chó Labrador.png,labrador_retriever,0.9660986065864563
Chó Kuvasz.png,kuvasz,0.989739716053009
Chó Norwich Terrier.png,norwich_terrier,0.9258331060409546
