epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,514.036,0.18228,3.93518,0.95142,0.2316,0.19211,0.06959,0.06765,0.20922,2.79976,0.55456,0.0099919,0.00333063,0.0099919,0.00333063,0.0099919,0.00333063,0.0099919,0.00333063
2,959.702,0.16216,2.98298,0.90599,0.25663,0.39064,0.20083,0.19434,0.24359,2.36847,0.58621,0.0195961,0.00653202,0.0195961,0.00653202,0.0195961,0.00653202,0.0195961,0.00653202
3,1385.7,0.18671,2.80353,0.91359,0.19703,0.29098,0.12425,0.12094,0.21581,3.04859,0.55349,0.0288042,0.00960141,0.0288042,0.00960141,0.0288042,0.00960141,0.0288042,0.00960141
4,1803.69,0.17168,2.6429,0.90766,0.24935,0.44253,0.26558,0.26057,0.15489,2.1002,0.48466,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,2220.1,0.14407,2.42376,0.89902,0.30109,0.45213,0.3347,0.32762,0.15861,1.89397,0.50949,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,2639.25,0.12718,2.27842,0.89401,0.35164,0.47274,0.3899,0.38899,0.10005,1.72503,0.43486,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,3063.07,0.1167,2.19334,0.89152,0.41109,0.53384,0.47166,0.46658,0.11927,1.53369,0.4522,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,3482.36,0.10826,2.12157,0.88677,0.45618,0.55279,0.51257,0.50959,0.11409,1.4364,0.44342,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,3904.05,0.10346,2.07186,0.8859,0.49856,0.61296,0.58191,0.57949,0.09751,1.27566,0.4288,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,475.613,0.09811,2.01456,0.88589,0.525,0.61074,0.60968,0.60544,0.1264,1.23187,0.45987,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
